MDMAUD,AGE,SESNEI,UCITY,TIMEDIFF,NUMCHLD,INCOME,WEALTH1,HIT,RAMNTALL,LASTDATE,CONTROLN
XXXX,39.0,1,C,18,2.0,3.0,7.0,4,60.0,9602,29916
XXXX,50.0,2,C,18,,7.0,8.0,9,37.0,9603,164090
XXXX,50.0,1,T,30,,7.0,,0,114.0,9512,157688
XXXX,74.0,2,R,30,,1.0,1.0,12,45.0,9509,177843
XXXX,39.0,1,S,30,,6.0,9.0,0,102.0,9509,17624
XXXX,55.0,3,R,30,,3.0,,0,111.0,9512,72917
XXXX,,2,C,30,,,,0,50.0,9506,190071
XXXX,40.0,3,C,30,,5.0,,0,42.0,9509,128410
XXXX,53.0,1,U,18,,5.0,9.0,3,22.0,9602,102367
XXXX,46.0,3,U,18,,4.0,2.0,7,25.0,9602,37523
XXXX,,3,C,30,,,,0,65.0,9509,187504
C2LM,,2,T,5,,,,0,471.0,9701,11820
XXXX,,1,S,30,,,,0,186.0,9508,188044
XXXX,,2,C,18,,,,0,20.0,9603,111103
XXXX,,2,R,18,,4.0,4.0,7,109.0,9603,72086
XXXX,53.0,1,S,30,1.0,4.0,,0,793.0,9512,77110
XXXX,77.0,2,T,18,,,,0,115.0,9602,160549
XXXX,42.0,1,S,18,,6.0,8.0,0,27.0,9602,140772
XXXX,79.0,2,C,30,,2.0,2.0,19,120.0,9509,95972
XXXX,83.0,2,U,30,,,,0,210.0,9512,78344
XXXX,75.0,2,C,30,,5.0,8.0,16,179.0,9504,5373
XXXX,,1,U,30,,,,0,183.0,9504,163921
XXXX,62.0,2,S,18,,1.0,6.0,23,77.0,9602,49546
XXXX,91.0,,,18,,,,0,205.0,9603,9915
XXXX,64.0,2,R,30,,5.0,7.0,9,58.0,9511,59779
XXXX,62.0,2,R,4,,4.0,5.0,12,291.03,9702,189308
XXXX,33.0,4,U,30,,4.0,2.0,1,84.0,9512,144162
XXXX,41.0,1,S,30,3.0,5.0,9.0,3,98.0,9510,88773
XXXX,50.0,3,C,30,,5.0,,0,127.0,9512,102394
XXXX,55.0,2,T,30,,6.0,7.0,2,289.0,9506,6084
XXXX,66.0,2,T,30,,1.0,1.0,0,97.0,9504,86491
XXXX,,2,R,30,,1.0,2.0,0,26.0,9505,161792
XXXX,54.0,2,S,18,,4.0,,0,95.0,9602,66341
XXXX,57.0,1,S,18,1.0,4.0,7.0,7,198.0,9602,161475
XXXX,84.0,2,R,30,,6.0,3.0,2,56.0,9505,54079
XXXX,85.0,3,S,30,,2.0,6.0,8,75.0,9510,56390
XXXX,,1,U,30,,,,0,158.5,9509,149832
XXXX,84.0,1,C,18,,2.0,6.0,2,327.0,9602,5914
XXXX,54.0,2,T,30,,3.0,6.0,8,104.0,9504,97964
XXXX,66.0,2,R,18,,4.0,4.0,10,15.0,9601,26733
XXXX,71.0,1,C,30,,5.0,9.0,10,69.0,9509,25383
XXXX,88.0,2,R,30,,1.0,1.0,0,20.0,9509,29296
XXXX,76.0,1,S,30,,5.0,7.0,3,80.0,9512,83729
XXXX,75.0,3,U,30,,3.0,,0,90.0,9505,8214
XXXX,43.0,1,T,30,,6.0,9.0,2,20.0,9509,66967
XXXX,68.0,2,T,30,2.0,2.0,5.0,24,274.0,9507,127764
XXXX,46.0,1,S,18,,6.0,,0,85.0,9603,106956
XXXX,73.0,2,R,30,,7.0,9.0,0,65.8,9506,81153
XXXX,,2,S,30,,4.0,5.0,5,141.0,9512,38420
XXXX,45.0,2,S,30,,5.0,6.0,0,55.0,9505,149621
XXXX,53.0,3,S,30,,5.0,6.0,7,72.0,9508,121002
XXXX,79.0,3,C,4,,1.0,1.0,4,143.0,9702,13497
XXXX,79.0,1,C,18,,7.0,8.0,1,15.0,9601,39996
XXXX,,2,R,18,,3.0,,0,127.0,9602,136368
XXXX,48.0,2,U,30,,5.0,6.0,12,90.0,9512,146450
XXXX,47.0,2,R,30,,4.0,4.0,14,81.0,9512,176597
XXXX,,1,S,30,,7.0,8.0,2,42.0,9512,169785
XXXX,60.0,1,T,30,,7.0,,0,56.0,9512,44182
XXXX,36.0,1,U,30,,6.0,,0,15.0,9510,144704
XXXX,,3,C,30,,,,0,20.0,9509,110324
XXXX,45.0,1,S,18,,7.0,9.0,5,53.0,9602,3052
XXXX,59.0,2,R,30,,3.0,7.0,7,70.0,9510,73080
XXXX,,3,C,18,,,,0,65.0,9603,181955
XXXX,64.0,1,C,18,,6.0,,0,75.0,9602,7723
XXXX,,2,C,30,,,,0,40.0,9508,105028
XXXX,62.0,1,C,18,,6.0,9.0,12,125.0,9601,57325
XXXX,66.0,2,U,30,,1.0,,0,20.0,9507,93212
XXXX,56.0,1,U,18,,1.0,,0,52.0,9601,94824
XXXX,66.0,3,U,30,,1.0,3.0,9,116.0,9505,150999
XXXX,39.0,1,S,30,2.0,5.0,7.0,7,42.0,9512,87863
XXXX,81.0,1,C,18,,3.0,8.0,0,49.0,9603,76378
XXXX,52.0,2,T,18,,5.0,9.0,0,100.0,9601,39894
XXXX,,1,S,30,,,,0,57.0,9512,150053
XXXX,60.0,1,S,30,,5.0,7.0,7,155.0,9511,39859
XXXX,75.0,2,U,18,,4.0,5.0,14,170.0,9601,130068
XXXX,71.0,1,S,30,,4.0,7.0,11,55.0,9504,172038
XXXX,74.0,2,U,30,,,,0,270.0,9507,163803
XXXX,81.0,3,R,30,,,,0,119.0,9506,154230
XXXX,29.0,3,S,18,,5.0,3.0,3,35.0,9603,67032
XXXX,,2,T,18,,2.0,1.0,0,109.0,9601,140333
XXXX,66.0,1,S,30,,4.0,,0,454.0,9512,173664
XXXX,85.0,3,T,18,,2.0,1.0,5,201.0,9602,44583
XXXX,,2,R,30,,,,0,46.0,9509,154269
XXXX,,1,U,30,,,,0,75.0,9508,167546
XXXX,45.0,2,C,18,2.0,5.0,7.0,2,25.0,9601,182162
XXXX,64.0,1,C,30,,7.0,7.0,22,113.0,9506,127910
XXXX,80.0,2,T,18,,3.0,2.0,3,78.0,9601,1139
XXXX,46.0,1,S,18,,6.0,8.0,2,149.0,9603,156587
XXXX,,2,R,4,,,,0,193.0,9702,10744
XXXX,48.0,3,T,18,3.0,4.0,3.0,23,145.0,9603,124083
XXXX,,1,U,18,,,,0,20.0,9602,167534
XXXX,,1,C,18,,,,0,138.0,9603,21947
XXXX,60.0,1,S,30,,7.0,9.0,2,110.0,9504,7371
XXXX,52.0,4,U,30,,4.0,0.0,0,116.0,9512,144561
XXXX,,2,S,30,,,,0,139.0,9506,152308
XXXX,,3,R,30,,,,0,149.0,9512,120696
XXXX,62.0,2,R,30,,1.0,2.0,0,101.0,9512,82283
XXXX,35.0,1,S,30,1.0,7.0,8.0,1,25.0,9509,69106
XXXX,36.0,1,C,30,4.0,5.0,8.0,9,20.0,9505,159085
XXXX,48.0,1,S,30,,,,0,195.0,9505,117549
XXXX,69.0,1,C,30,,1.0,8.0,14,25.0,9509,93840
XXXX,,1,C,30,,,,0,20.0,9510,23423
XXXX,60.0,2,R,30,,2.0,6.0,6,60.0,9510,80643
XXXX,60.0,3,C,30,,,,0,101.0,9509,36424
XXXX,,2,U,18,,,,0,179.0,9612,163094
XXXX,81.0,2,S,30,1.0,2.0,6.0,11,60.0,9512,8212
XXXX,60.0,3,R,18,,3.0,,0,288.0,9601,137150
XXXX,39.0,1,S,30,,4.0,8.0,0,30.0,9506,35792
XXXX,41.0,4,U,18,,,,0,43.0,9601,67613
XXXX,76.0,2,T,30,,5.0,6.0,2,126.0,9511,59805
XXXX,96.0,2,C,18,,4.0,8.0,2,68.0,9601,116029
XXXX,51.0,2,U,18,,4.0,0.0,1,20.0,9603,116877
XXXX,,3,R,30,,1.0,,0,35.0,9512,85792
XXXX,,4,U,18,,,,0,240.58,9602,78949
XXXX,50.0,2,T,30,,3.0,,0,183.0,9512,138837
XXXX,63.0,,,18,,2.0,3.0,3,92.0,9602,54265
XXXX,64.0,3,U,18,,1.0,0.0,1,25.0,9602,164814
XXXX,43.0,1,U,30,,6.0,8.0,1,50.0,9509,145487
XXXX,84.0,2,U,30,,2.0,,0,82.0,9512,136901
XXXX,84.0,4,U,18,,2.0,,0,60.0,9601,64799
XXXX,55.0,3,T,30,,4.0,0.0,5,353.07,9512,95577
XXXX,76.0,1,C,30,,5.0,,0,126.0,9505,27717
XXXX,84.0,2,U,5,,5.0,3.0,38,131.0,9701,188625
XXXX,68.0,2,R,30,,1.0,,0,72.0,9506,29319
XXXX,61.0,2,C,18,,2.0,3.0,23,432.0,9603,34794
XXXX,53.0,1,T,30,,4.0,8.0,0,39.0,9512,125917
XXXX,59.0,1,S,18,,4.0,,0,186.0,9601,116312
XXXX,75.0,3,S,30,,,,0,91.0,9511,73906
XXXX,73.0,3,C,18,2.0,3.0,0.0,5,60.0,9602,77020
XXXX,30.0,1,C,30,,5.0,9.0,0,15.0,9509,24473
XXXX,93.0,2,T,18,,2.0,1.0,10,172.0,9612,2106
XXXX,83.0,2,S,18,,,,0,64.0,9603,170923
XXXX,50.0,3,R,30,,6.0,,0,25.0,9505,56291
XXXX,,3,C,30,,3.0,5.0,5,31.0,9511,85971
XXXX,29.0,2,T,18,,5.0,2.0,11,20.0,9602,128999
XXXX,45.0,2,T,30,,5.0,4.0,0,15.0,9510,95503
XXXX,37.0,2,S,30,,5.0,9.0,0,92.0,9506,135664
XXXX,56.0,2,C,30,,3.0,5.0,17,196.0,9512,160517
XXXX,68.0,3,S,18,,1.0,6.0,1,103.0,9601,19649
XXXX,52.0,2,S,18,,3.0,,0,20.0,9601,66565
XXXX,52.0,2,T,30,,4.0,7.0,1,69.0,9505,20944
XXXX,42.0,1,C,30,,3.0,9.0,4,42.0,9506,109319
XXXX,58.0,1,S,30,,6.0,9.0,4,79.0,9504,141520
XXXX,46.0,2,T,30,,6.0,,0,50.0,9505,54241
XXXX,78.0,3,S,30,,,,0,67.0,9512,68496
XXXX,44.0,2,T,30,,5.0,6.0,4,63.0,9510,21589
XXXX,56.0,3,T,30,,5.0,1.0,1,206.0,9509,74562
XXXX,46.0,2,T,4,1.0,5.0,,0,150.0,9702,1907
XXXX,,,,18,,,,0,104.0,9601,14985
XXXX,34.0,1,U,30,,6.0,6.0,1,97.0,9506,156421
XXXX,53.0,3,C,30,,2.0,0.0,0,101.0,9512,152177
XXXX,,2,R,30,,,,0,56.0,9512,49786
XXXX,86.0,2,C,30,,1.0,7.0,1,97.0,9510,77538
XXXX,56.0,2,T,18,,,,0,82.0,9603,77218
XXXX,57.0,1,R,30,2.0,5.0,3.0,3,50.0,9510,173384
XXXX,80.0,2,T,5,,2.0,2.0,0,125.0,9701,188682
XXXX,58.0,1,S,30,,6.0,,0,45.0,9506,128932
XXXX,54.0,2,S,18,1.0,5.0,5.0,4,35.0,9601,78365
XXXX,51.0,1,T,18,,6.0,9.0,11,63.0,9601,46666
XXXX,40.0,3,T,18,,1.0,,0,152.0,9601,154795
XXXX,57.0,2,R,30,,5.0,,0,128.0,9512,58984
XXXX,92.0,2,R,18,,,,0,1155.0,9604,7938
XXXX,77.0,2,R,18,,1.0,2.0,0,89.0,9604,9155
XXXX,,2,C,30,,3.0,,0,99.0,9512,137391
XXXX,,,,18,,2.0,6.0,5,82.0,9608,1220
XXXX,,2,T,18,,,,0,26.0,9603,154781
XXXX,,2,R,18,,4.0,3.0,18,122.0,9609,185890
XXXX,76.0,1,U,18,,3.0,9.0,29,132.0,9612,188463
XXXX,81.0,2,R,30,,6.0,,0,340.0,9510,55571
XXXX,82.0,2,S,30,,3.0,9.0,0,96.0,9509,38055
I1CM,,,,30,,,,0,250.0,9508,13037
XXXX,76.0,1,U,18,,1.0,,0,86.0,9603,163991
XXXX,68.0,2,T,30,,7.0,5.0,0,35.0,9512,99536
XXXX,60.0,2,U,18,,,,0,54.0,9601,179539
XXXX,,2,S,30,,,,0,32.0,9510,136499
XXXX,58.0,2,T,18,,4.0,5.0,1,63.0,9601,70040
XXXX,2.0,3,C,30,,1.0,,0,132.0,9512,43955
XXXX,,1,U,30,,,,0,75.0,9512,144962
XXXX,,2,R,30,,3.0,2.0,0,15.0,9507,83135
XXXX,,,,30,,,,0,65.0,9512,18788
XXXX,60.0,3,C,18,1.0,3.0,1.0,1,60.0,9602,168900
XXXX,69.0,2,R,18,,7.0,1.0,0,62.0,9603,99864
XXXX,58.0,1,S,30,,,,0,557.05,9506,3755
XXXX,86.0,2,T,30,,2.0,4.0,0,175.0,9512,63236
XXXX,70.0,2,C,18,,6.0,8.0,25,135.0,9605,185259
XXXX,64.0,2,R,30,,6.0,3.0,19,188.0,9510,71355
XXXX,34.0,1,S,30,,,,0,88.0,9512,78820
XXXX,72.0,1,S,30,,7.0,6.0,1,117.0,9512,169423
XXXX,89.0,3,T,18,,,,0,127.0,9601,43037
XXXX,,1,S,30,,4.0,9.0,4,70.0,9511,173850
XXXX,74.0,1,T,30,,7.0,9.0,3,69.0,9509,127189
XXXX,,3,C,18,,,,0,79.0,9601,125299
XXXX,52.0,1,R,18,,6.0,7.0,0,31.0,9603,35130
XXXX,50.0,2,R,30,,,,0,60.0,9508,23744
XXXX,35.0,2,T,30,,4.0,6.0,14,89.0,9512,109085
XXXX,,2,U,18,,,,0,63.0,9601,144521
XXXX,,2,T,30,,,,0,112.0,9506,184828
XXXX,34.0,2,R,30,,1.0,,0,47.0,9512,20991
XXXX,85.0,3,S,30,,1.0,3.0,3,34.0,9512,37079
XXXX,68.0,2,C,30,,3.0,,0,33.0,9506,36296
XXXX,83.0,,,18,,2.0,5.0,2,319.0,9602,4745
XXXX,,2,T,18,,2.0,,0,35.0,9602,184867
XXXX,,,,18,,6.0,9.0,1,180.0,9602,132863
XXXX,,2,R,18,,,,0,73.0,9602,61740
XXXX,80.0,2,U,18,,2.0,,0,127.0,9612,3380
XXXX,39.0,1,S,30,2.0,4.0,5.0,3,160.0,9509,79723
XXXX,72.0,1,S,18,,6.0,9.0,13,58.0,9601,12742
XXXX,69.0,3,C,30,,1.0,3.0,3,10253.0,9511,185154
XXXX,65.0,2,T,18,,3.0,3.0,6,155.0,9601,44306
XXXX,42.0,2,T,30,1.0,5.0,6.0,2,160.0,9512,57170
XXXX,,2,R,30,,,,0,152.0,9511,21953
XXXX,61.0,1,S,18,,6.0,8.0,4,52.0,9601,91741
XXXX,46.0,2,T,30,1.0,2.0,,0,233.0,9512,182449
XXXX,80.0,1,S,30,1.0,1.0,7.0,2,160.0,9509,135226
XXXX,,3,C,30,,5.0,,0,20.0,9510,70269
XXXX,,3,S,30,,1.0,5.0,1,35.0,9511,60522
XXXX,48.0,2,C,30,,5.0,4.0,0,52.0,9504,160706
XXXX,55.0,3,R,18,,7.0,2.0,4,76.0,9602,75605
XXXX,34.0,3,U,18,2.0,3.0,1.0,0,18.0,9601,78388
XXXX,42.0,1,S,30,,6.0,,0,146.0,9509,144794
XXXX,37.0,3,C,18,,6.0,,0,164.0,9612,3697
XXXX,65.0,3,R,18,,5.0,1.0,1,169.0,9603,120159
XXXX,56.0,2,C,30,,2.0,,0,72.0,9510,33369
XXXX,72.0,2,R,18,,1.0,3.0,2,25.0,9605,185508
XXXX,37.0,2,C,18,,3.0,5.0,31,107.0,9603,77063
XXXX,40.0,3,U,18,,5.0,,0,46.0,9601,2421
XXXX,,2,R,18,,6.0,,0,97.0,9603,159559
XXXX,56.0,1,U,30,,2.0,,0,30.0,9511,53255
XXXX,63.0,3,C,18,,4.0,1.0,0,15.0,9602,173901
XXXX,88.0,2,T,30,,2.0,8.0,2,229.0,9508,52470
XXXX,72.0,1,C,18,,1.0,,0,105.0,9602,119600
XXXX,70.0,1,U,30,1.0,4.0,,0,25.0,9512,94243
XXXX,,1,U,18,,3.0,1.0,0,40.0,9602,108314
XXXX,42.0,2,S,18,2.0,4.0,,0,93.0,9602,184649
XXXX,74.0,3,U,30,,1.0,4.0,0,84.0,9512,116926
XXXX,,2,R,30,,,,0,112.0,9506,129898
XXXX,,3,R,30,,,,0,20.0,9512,124614
XXXX,32.0,2,S,18,2.0,6.0,,0,294.0,9603,140908
XXXX,65.0,3,S,30,,3.0,6.0,1,96.0,9511,56620
XXXX,84.0,2,T,30,,4.0,5.0,2,73.0,9503,15725
XXXX,57.0,1,C,30,,5.0,6.0,6,93.0,9511,152988
XXXX,63.0,3,C,18,,1.0,4.0,8,96.0,9601,119349
XXXX,69.0,1,S,30,,6.0,9.0,56,179.0,9506,88724
XXXX,56.0,3,C,30,,,,0,46.0,9504,61905
XXXX,,1,S,30,,,,0,99.0,9509,41517
XXXX,50.0,1,C,18,1.0,4.0,7.0,4,64.0,9602,90514
XXXX,77.0,2,C,30,,4.0,6.0,1,257.0,9509,6800
XXXX,62.0,1,C,30,,7.0,9.0,40,25.0,9509,121745
XXXX,51.0,1,T,30,,5.0,7.0,1,150.0,9507,170532
XXXX,48.0,1,U,18,,6.0,,0,114.0,9603,93183
XXXX,48.0,1,S,30,,5.0,8.0,3,20.0,9506,17574
XXXX,54.0,2,R,30,,1.0,,0,20.0,9511,183138
XXXX,33.0,3,T,30,,,,0,40.0,9510,54054
XXXX,50.0,2,S,30,2.0,3.0,6.0,9,61.0,9506,47289
XXXX,81.0,2,C,18,,1.0,3.0,2,210.0,9601,2026
XXXX,64.0,3,T,30,,5.0,,0,155.0,9512,127588
XXXX,,2,T,18,,5.0,,0,60.0,9601,54245
XXXX,82.0,3,S,18,,,,0,128.0,9603,135619
XXXX,47.0,1,S,30,,,,0,35.0,9507,40374
XXXX,80.0,2,R,18,,2.0,8.0,1,47.0,9602,58543
XXXX,59.0,2,S,18,,5.0,8.0,8,68.5,9603,69058
XXXX,50.0,2,R,30,,4.0,,0,80.0,9505,97973
XXXX,,1,U,18,,,,0,15.0,9602,171820
XXXX,36.0,1,T,18,,4.0,4.0,1,97.0,9601,160386
XXXX,,,,18,,4.0,8.0,0,104.0,9603,10254
XXXX,80.0,1,T,30,,6.0,7.0,6,259.0,9512,170520
XXXX,40.0,1,C,18,,7.0,8.0,4,42.0,9603,105122
XXXX,64.0,1,T,18,,3.0,8.0,19,162.0,9602,184151
XXXX,86.0,2,S,30,,6.0,8.0,14,60.0,9512,68486
XXXX,54.0,3,S,30,4.0,5.0,3.0,2,67.0,9512,33150
XXXX,,2,S,30,,,,0,25.0,9512,147513
XXXX,46.0,3,S,18,1.0,4.0,,0,20.0,9601,60272
XXXX,,2,S,18,,2.0,4.0,15,49.0,9602,183016
XXXX,39.0,2,T,30,,7.0,5.0,2,89.0,9506,43281
XXXX,57.0,2,U,30,,5.0,4.0,0,116.0,9511,167850
XXXX,76.0,2,R,30,,7.0,5.0,1,15.0,9506,52233
XXXX,58.0,3,R,18,,3.0,,0,109.0,9602,84905
XXXX,69.0,1,T,18,,6.0,8.0,9,92.0,9602,51245
XXXX,50.0,2,R,18,1.0,4.0,7.0,11,35.0,9601,58437
XXXX,,3,R,30,,,,0,132.0,9512,107619
XXXX,,1,R,30,,,,0,64.05,9512,182813
XXXX,74.0,1,T,30,,2.0,8.0,1,24.0,9511,120194
XXXX,,2,C,18,,,,0,28.0,9602,154421
XXXX,81.0,2,S,30,,1.0,7.0,3,105.0,9510,94998
XXXX,41.0,2,C,30,,3.0,4.0,2,88.0,9507,762
XXXX,81.0,2,S,30,,1.0,6.0,7,77.0,9508,38059
XXXX,31.0,3,T,30,,5.0,1.0,2,67.0,9511,95094
XXXX,47.0,2,U,30,1.0,4.0,6.0,0,27.0,9512,148612
XXXX,,1,S,30,,,,0,28.0,9507,161946
XXXX,82.0,2,S,30,,,,0,71.0,9509,169316
XXXX,64.0,1,T,30,,4.0,7.0,0,126.0,9512,184258
XXXX,69.0,2,R,18,,2.0,4.0,1,129.25,9602,79739
XXXX,71.0,2,T,30,,,,0,72.0,9505,181431
XXXX,31.0,2,U,18,2.0,5.0,5.0,2,180.0,9602,155399
XXXX,,1,S,30,,6.0,9.0,20,39.0,9512,165373
XXXX,,2,R,18,,2.0,1.0,0,44.0,9603,138884
XXXX,,1,S,30,4.0,4.0,9.0,1,20.0,9509,123163
XXXX,44.0,3,S,18,3.0,5.0,2.0,0,51.0,9601,67166
XXXX,53.0,2,U,30,,7.0,5.0,0,25.0,9512,136059
XXXX,76.0,1,U,30,,5.0,6.0,1,35.0,9512,162981
XXXX,57.0,1,C,30,,6.0,9.0,1,89.0,9505,118760
XXXX,42.0,1,S,18,,,,0,58.0,9602,48175
XXXX,,2,C,30,,1.0,0.0,3,53.0,9512,175282
XXXX,31.0,2,T,18,,6.0,4.0,2,20.0,9602,177484
XXXX,47.0,3,C,30,,4.0,5.0,11,95.0,9512,80481
XXXX,87.0,3,T,30,,3.0,,0,139.0,9508,57194
XXXX,,2,T,18,,5.0,6.0,12,156.0,9601,123401
XXXX,52.0,3,S,18,,6.0,,0,226.0,9601,89065
XXXX,,2,R,18,,,,0,23.0,9602,33707
XXXX,73.0,2,U,30,,5.0,2.0,1,143.0,9511,5539
XXXX,,2,T,30,,,,0,60.0,9509,79418
XXXX,75.0,1,C,18,,3.0,8.0,0,211.0,9603,57298
XXXX,55.0,2,C,30,,6.0,6.0,37,417.0,9508,5774
XXXX,44.0,2,T,18,,2.0,,0,80.0,9603,156099
XXXX,48.0,2,T,18,2.0,6.0,6.0,1,20.0,9603,49689
XXXX,66.0,1,T,30,,4.0,9.0,15,126.0,9512,54903
XXXX,,2,T,30,,,,0,76.0,9512,77952
XXXX,86.0,2,S,30,,7.0,7.0,16,192.0,9509,26405
XXXX,50.0,2,T,18,,3.0,,0,44.0,9602,30912
XXXX,44.0,1,R,30,,4.0,7.0,0,65.0,9506,66147
XXXX,38.0,2,R,30,4.0,4.0,6.0,1,20.0,9507,54932
XXXX,39.0,3,R,18,,,,0,43.0,9602,110668
XXXX,36.0,1,C,30,,5.0,7.0,2,326.0,9509,14672
XXXX,,1,R,18,3.0,5.0,,0,308.03,9602,139969
XXXX,77.0,3,C,18,,3.0,3.0,11,146.25,9603,33643
XXXX,48.0,1,U,18,2.0,4.0,,0,60.0,9602,126090
XXXX,,2,R,18,,6.0,,0,25.0,9603,61973
XXXX,41.0,1,S,30,1.0,7.0,,0,332.0,9506,45853
XXXX,32.0,2,R,30,,5.0,,0,68.0,9504,137025
XXXX,59.0,2,T,30,,4.0,1.0,14,101.0,9506,182711
XXXX,64.0,1,S,30,,5.0,6.0,3,188.0,9507,161447
XXXX,54.0,2,R,30,,1.0,7.0,8,15.0,9506,54749
XXXX,68.0,3,R,30,,2.0,2.0,10,122.0,9512,103051
XXXX,80.0,2,S,18,,,,0,43.0,9601,83788
XXXX,64.0,2,T,30,,4.0,,0,166.0,9512,29627
XXXX,32.0,1,U,30,,5.0,,0,25.0,9512,107903
XXXX,47.0,2,U,30,,,,0,20.0,9509,143020
XXXX,74.0,3,R,5,,1.0,,0,87.0,9701,188662
XXXX,59.0,1,S,30,,5.0,7.0,0,149.0,9512,91376
XXXX,54.0,1,C,18,,7.0,9.0,0,30.0,9602,20563
XXXX,77.0,1,T,18,,5.0,9.0,4,64.0,9603,16620
XXXX,,3,T,30,,,,0,108.0,9504,108629
XXXX,,3,T,30,,,,0,195.0,9508,153894
XXXX,75.0,1,U,18,,5.0,6.0,12,90.0,9601,83608
XXXX,,2,R,30,,4.0,,0,78.0,9507,21618
XXXX,54.0,3,R,30,,2.0,1.0,1,143.0,9512,79183
XXXX,46.0,3,R,30,1.0,6.0,,0,15.0,9507,59056
XXXX,78.0,1,C,30,,4.0,8.0,13,68.0,9512,97011
XXXX,64.0,2,T,30,,5.0,5.0,2,56.0,9509,21196
XXXX,79.0,1,S,18,,4.0,,0,137.0,9602,66026
XXXX,57.0,1,U,18,,5.0,5.0,4,40.0,9603,145817
XXXX,67.0,1,T,18,,7.0,,0,125.0,9601,101476
XXXX,70.0,2,R,30,,6.0,,0,117.0,9512,136356
XXXX,70.0,1,S,30,1.0,4.0,7.0,5,30.0,9511,168132
XXXX,,1,S,30,,,,0,30.0,9506,115773
XXXX,83.0,3,R,18,,4.0,1.0,1,330.0,9608,185695
XXXX,54.0,2,R,18,1.0,5.0,6.0,17,116.0,9602,54993
XXXX,67.0,3,T,30,,2.0,0.0,2,25.0,9512,27447
XXXX,91.0,2,C,30,,1.0,4.0,10,90.0,9509,45127
XXXX,37.0,2,C,30,,4.0,4.0,0,195.0,9512,81395
XXXX,,1,S,30,,,,0,50.0,9503,104890
XXXX,41.0,1,C,30,,4.0,8.0,14,52.0,9509,36201
XXXX,62.0,2,S,30,,5.0,5.0,4,44.0,9512,166813
XXXX,65.0,3,C,18,,,,0,137.0,9603,60262
XXXX,77.0,1,C,30,,,,0,111.0,9512,111461
XXXX,,4,U,30,,,,0,91.0,9505,67611
XXXX,64.0,3,U,30,1.0,2.0,3.0,11,42.0,9512,142680
XXXX,42.0,3,U,30,,4.0,,0,20.0,9507,67949
XXXX,54.0,2,T,30,,4.0,7.0,6,342.0,9512,15860
