STATE,TIMEDIFF,SESNEI,UCITY,AGE,MDMAUD,DOMAIN,CLUSTER,HOMEOWNR,NUMCHLD,INCOME,GENDER,WEALTH1,HIT,RAMNTALL,LASTGIFT,LASTDATE,TIMELAG,AVGGIFT,CONTROLN
FL,18,1,T,60.0,XXXX,T1,35.0,H,,7.0,M,,0,56.0,11.0,9512,5.0,8.0,44182
CA,20,1,U,36.0,XXXX,U1,3.0,H,,6.0,F,,0,15.0,15.0,9510,,15.0,144704
LA,21,3,C,,XXXX,C3,32.0, ,,, ,,0,20.0,20.0,9509,,20.0,110324
TX,16,1,S,45.0,XXXX,S1,12.0,H,,7.0,F,9.0,5,53.0,10.0,9602,9.0,8.8333333333,3052
MI,20,2,R,59.0,XXXX,R2,44.0,H,,3.0,F,7.0,7,70.0,10.0,9510,6.0,14.0,73080
WA,15,3,C,,XXXX,C3,31.0, ,,,M,,0,65.0,20.0,9603,14.0,13.0,181955
AL,16,1,C,64.0,XXXX,C1,24.0,H,,6.0,M,,0,75.0,5.0,9602,6.0,5.0,7723
KS,22,2,C,,XXXX,C2,27.0, ,,,M,,0,40.0,20.0,9508,9.0,20.0,105028
KY,17,1,C,62.0,XXXX,C1,24.0,U,,6.0,F,9.0,12,125.0,9.0,9601,7.0,7.3529411765,57325
IL,23,2,U,66.0,XXXX,U2,5.0,U,,1.0,M,,0,20.0,20.0,9507,,20.0,93212
IL,17,1,U,56.0,XXXX,U1,1.0,U,,1.0,F,,0,52.0,10.0,9601,4.0,6.5,94824
CA,25,3,U,66.0,XXXX,U3,8.0,H,,1.0,M,3.0,9,116.0,15.0,9505,3.0,11.6,150999
IL,18,1,S,39.0,XXXX,S1,12.0,H,2.0,5.0,M,7.0,7,42.0,20.0,9512,15.0,14.0,87863
KS,15,1,C,81.0,XXXX,C1,24.0,U,,3.0,F,8.0,0,49.0,7.0,9603,8.0,4.4545454545,76378
FL,17,2,T,52.0,XXXX,T2,40.0,U,,5.0,M,9.0,0,100.0,25.0,9601,5.0,20.0,39894
CA,18,1,S,,XXXX,S1,14.0, ,,,M,,0,57.0,13.0,9512,11.0,11.4,150053
FL,19,1,S,60.0,XXXX,S1,12.0,H,,5.0,F,7.0,7,155.0,5.0,9511,4.0,4.84375,39859
CO,17,2,U,75.0,XXXX,U2,7.0,H,,4.0,F,5.0,14,170.0,25.0,9601,10.0,17.0,130068
CA,26,1,S,71.0,XXXX,S1,12.0,H,,4.0,F,7.0,11,55.0,30.0,9504,15.0,27.5,172038
CA,23,2,U,74.0,XXXX,U2,7.0, ,,,M,,0,270.0,30.0,9507,5.0,14.210526316,163803
CA,24,3,R,81.0,XXXX,R3,53.0, ,,, ,,0,119.0,15.0,9506,8.0,9.1538461538,154230
MI,15,3,S,29.0,XXXX,S3,21.0,H,,5.0,F,3.0,3,35.0,25.0,9603,12.0,17.5,67032
NV,17,2,T,,XXXX,T2,36.0,U,,2.0,M,1.0,0,109.0,8.0,9601,5.0,6.0555555556,140333
HI,18,1,S,66.0,XXXX,S1,15.0,H,,4.0,F,,0,454.0,144.0,9512,22.0,113.5,173664
FL,16,3,T,85.0,XXXX,T3,41.0,H,,2.0,M,1.0,5,201.0,10.0,9602,10.0,6.7,44583
WA,21,2,R,,XXXX,R2,46.0, ,,,M,,0,46.0,10.0,9509,2.0,11.5,154269
CA,22,1,U,,XXXX,U1,2.0, ,,,M,,0,75.0,25.0,9508,10.0,25.0,167546
WA,17,2,C,45.0,XXXX,C2,26.0,H,2.0,5.0,M,7.0,2,25.0,10.0,9601,5.0,8.3333333333,182162
TX,24,1,C,64.0,XXXX,C1,24.0,H,,7.0,F,7.0,22,113.0,5.0,9506,7.0,4.7083333333,127910
TX,17,2,T,80.0,XXXX,T2,37.0,H,,3.0,M,2.0,3,78.0,15.0,9601,13.0,11.142857143,1139
CA,15,1,S,46.0,XXXX,S1,14.0,H,,6.0,M,8.0,2,149.0,15.0,9603,8.0,11.461538462,156587
AL,4,2,R,,XXXX,R2,47.0, ,,,F,,0,193.0,15.0,9702,2.0,11.352941176,10744
TX,15,3,T,48.0,XXXX,T3,41.0,H,3.0,4.0,F,3.0,23,145.0,15.0,9603,24.0,14.5,124083
CA,16,1,U,,XXXX,U1,3.0, ,,,F,,0,20.0,15.0,9602,13.0,10.0,167534
NC,15,1,C,,XXXX,C1,23.0, ,,, ,,0,138.0,15.0,9603,6.0,8.625,21947
LA,26,1,S,60.0,XXXX,S1,11.0, ,,7.0,M,9.0,2,110.0,25.0,9504,13.0,18.333333333,7371
CA,18,4,U,52.0,XXXX,U4,10.0,H,,4.0,F,0.0,0,116.0,10.0,9512,12.0,10.545454545,144561
CA,24,2,S,,XXXX,S2,18.0, ,,,F,,0,139.0,10.0,9506,3.0,7.7222222222,152308
TX,18,3,R,,XXXX,R3,53.0, ,,,M,,0,149.0,25.0,9512,14.0,18.625,120696
MN,18,2,R,62.0,XXXX,R2,43.0,U,,1.0,F,2.0,0,101.0,5.0,9512,14.0,5.9411764706,82283
MI,21,1,S,35.0,XXXX,S1,15.0,U,1.0,7.0,F,8.0,1,25.0,25.0,9509,,25.0,69106
CA,25,1,C,36.0,XXXX,C1,24.0,H,4.0,5.0,F,8.0,9,20.0,20.0,9505,,20.0,159085
TX,25,1,S,48.0,XXXX,S1,13.0, ,,, ,,0,195.0,25.0,9505,11.0,24.375,117549
IL,21,1,C,69.0,XXXX,C1,23.0,H,,1.0,F,8.0,14,25.0,15.0,9509,11.0,12.5,93840
SC,20,1,C,,XXXX,C1,23.0, ,,,F,,0,20.0,20.0,9510,,20.0,23423
WI,20,2,R,60.0,XXXX,R2,49.0,U,,2.0,F,6.0,6,60.0,15.0,9510,16.0,12.0,80643
FL,21,3,C,60.0,XXXX,C3,33.0, ,,,F,,0,101.0,25.0,9509,10.0,12.625,36424
CA,6,2,U,,XXXX,U2,4.0, ,,,F,,0,179.0,15.0,9612,11.0,12.785714286,163094
LA,18,2,S,81.0,XXXX,S2,16.0,H,1.0,2.0,M,6.0,11,60.0,15.0,9512,14.0,8.5714285714,8212
AZ,17,3,R,60.0,XXXX,R3,53.0,H,,3.0,F,,0,288.0,26.0,9601,13.0,19.2,137150
FL,24,1,S,39.0,XXXX,S1,12.0,H,,4.0,F,8.0,0,30.0,15.0,9506,8.0,15.0,35792
MI,17,4,U,41.0,XXXX,U4,10.0, ,,, ,,0,43.0,15.0,9601,10.0,8.6,67613
IN,19,2,T,76.0,XXXX,T2,40.0,H,,5.0,F,6.0,2,126.0,15.0,9511,6.0,12.6,59805
TX,17,2,C,96.0,XXXX,C2,27.0,H,,4.0,M,8.0,2,68.0,10.0,9601,3.0,17.0,116029
TX,15,2,U,51.0,XXXX,U2,4.0,H,,4.0,M,0.0,1,20.0,20.0,9603,,20.0,116877
MN,18,3,R,,XXXX,R3,50.0,U,,1.0,F,,0,35.0,25.0,9512,10.0,17.5,85792
WI,16,4,U,,XXXX,U4,10.0, ,,,F,,0,240.58,15.0,9602,12.0,13.365555556,78949
AZ,18,2,T,50.0,XXXX,T2,37.0,H,,3.0,F,,0,183.0,15.0,9512,4.0,10.764705882,138837
TN,16,,,63.0,XXXX, ,,H,,2.0,F,3.0,3,92.0,25.0,9602,3.0,15.333333333,54265
CA,16,3,U,64.0,XXXX,U3,9.0,U,,1.0,M,0.0,1,25.0,25.0,9602,,25.0,164814
CA,21,1,U,43.0,XXXX,U1,3.0,H,,6.0,F,8.0,1,50.0,50.0,9509,,50.0,145487
AZ,18,2,U,84.0,XXXX,U2,6.0,H,,2.0,F,,0,82.0,5.0,9512,5.0,4.5555555556,136901
MI,17,4,U,84.0,XXXX,U4,10.0,H,,2.0,F,,0,60.0,15.0,9601,12.0,15.0,64799
IL,18,3,T,55.0,XXXX,T3,41.0,H,,4.0,M,0.0,5,353.07,15.0,9512,4.0,9.8075,95577
FL,25,1,C,76.0,XXXX,C1,24.0,H,,5.0,M,,0,126.0,28.0,9505,9.0,21.0,27717
CA,5,2,U,84.0,XXXX,U2,6.0,H,,5.0,F,3.0,38,131.0,10.0,9701,3.0,9.3571428571,188625
GA,24,2,R,68.0,XXXX,R2,49.0,H,,1.0,M,,0,72.0,20.0,9506,4.0,14.4,29319
FL,15,2,C,61.0,XXXX,C2,28.0,H,,2.0,F,3.0,23,432.0,25.0,9603,4.0,17.28,34794
TX,18,1,T,53.0,XXXX,T1,35.0,H,,4.0,F,8.0,0,39.0,15.0,9512,24.0,7.8,125917
TX,17,1,S,59.0,XXXX,S1,14.0,H,,4.0,M,,0,186.0,10.0,9601,3.0,14.307692308,116312
MI,19,3,S,75.0,XXXX,S3,21.0, ,,,F,,0,91.0,30.0,9511,13.0,18.2,73906
IA,16,3,C,73.0,XXXX,C3,30.0,H,2.0,3.0,F,0.0,5,60.0,20.0,9602,7.0,6.0,77020
SC,21,1,C,30.0,XXXX,C1,24.0,U,,5.0,M,9.0,0,15.0,15.0,9509,,15.0,24473
CA,6,2,T,93.0,XXXX,T2,36.0,H,,2.0,F,1.0,10,172.0,40.0,9612,13.0,19.111111111,2106
NV,15,2,S,83.0,XXXX,S2,20.0, ,,,F,,0,64.0,6.0,9603,3.0,4.9230769231,170923
KY,25,3,R,50.0,XXXX,R3,51.0,U,,6.0,M,,0,25.0,15.0,9505,28.0,12.5,56291
SD,19,3,C,,XXXX,C3,30.0,H,,3.0,F,5.0,5,31.0,10.0,9511,1.0,7.75,85971
TX,16,2,T,29.0,XXXX,T2,39.0,H,,5.0,M,2.0,11,20.0,10.0,9602,7.0,6.6666666667,128999
IL,20,2,T,45.0,XXXX,T2,38.0,H,,5.0,F,4.0,0,15.0,15.0,9510,,15.0,95503
AZ,24,2,S,37.0,XXXX,S2,18.0,H,,5.0,F,9.0,0,92.0,30.0,9506,10.0,18.4,135664
CA,18,2,C,56.0,XXXX,C2,28.0,H,,3.0,F,5.0,17,196.0,5.0,9512,4.0,4.9,160517
NC,17,3,S,68.0,XXXX,S3,21.0,H,,1.0,M,6.0,1,103.0,13.0,9601,9.0,9.3636363636,19649
MI,17,2,S,52.0,XXXX,S2,18.0,U,,3.0,M,,0,20.0,20.0,9601,,20.0,66565
NC,25,2,T,52.0,XXXX,T2,39.0,U,,4.0,F,7.0,1,69.0,15.0,9505,2.0,7.6666666667,20944
LA,24,1,C,42.0,XXXX,C1,24.0,U,,3.0,F,9.0,4,42.0,15.0,9506,2.0,10.5,109319
NV,26,1,S,58.0,XXXX,S1,11.0,H,,6.0,M,9.0,4,79.0,15.0,9504,14.0,8.7777777778,141520
VA,25,2,T,46.0,XXXX,T2,36.0,H,,6.0,M,,0,50.0,25.0,9505,8.0,25.0,54241
MI,18,3,S,78.0,XXXX,S3,21.0, ,,,F,,0,67.0,15.0,9512,6.0,9.5714285714,68496
NC,20,2,T,44.0,XXXX,T2,40.0,H,,5.0,M,6.0,4,63.0,20.0,9510,2.0,10.5,21589
MI,21,3,T,56.0,XXXX,T3,41.0,H,,5.0,F,1.0,1,206.0,20.0,9509,5.0,12.117647059,74562
WA,4,2,T,46.0,XXXX,T2,40.0,H,1.0,5.0,F,,0,150.0,20.0,9702,0.0,21.428571429,1907
TN,17,,,,XXXX, ,, ,,,M,,0,104.0,5.0,9601,16.0,8.0,14985
CA,24,1,U,34.0,XXXX,U1,2.0,H,,6.0,M,6.0,1,97.0,20.0,9506,5.0,12.125,156421
CA,18,3,C,53.0,XXXX,C3,31.0,U,,2.0,U,0.0,0,101.0,25.0,9512,3.0,12.625,152177
AL,18,2,R,,XXXX,R2,49.0, ,,,F,,0,56.0,20.0,9512,7.0,18.666666667,49786
WI,20,2,C,86.0,XXXX,C2,26.0,U,,1.0,F,7.0,1,97.0,11.0,9510,3.0,10.777777778,77538
WI,15,2,T,56.0,XXXX,T2,38.0, ,,,F,,0,82.0,15.0,9603,6.0,10.25,77218
CA,20,1,R,57.0,XXXX,R1,42.0,H,2.0,5.0,F,3.0,3,50.0,25.0,9510,8.0,25.0,173384
IL,5,2,T,80.0,XXXX,T2,36.0,H,,2.0,M,2.0,0,125.0,15.0,9701,16.0,9.6153846154,188682
TX,24,1,S,58.0,XXXX,S1,12.0,H,,6.0,M,,0,45.0,15.0,9506,20.0,9.0,128932
WI,17,2,S,54.0,XXXX,S2,20.0,H,1.0,5.0,F,5.0,4,35.0,25.0,9601,13.0,17.5,78365
AL,17,1,T,51.0,XXXX,T1,35.0,H,,6.0,F,9.0,11,63.0,6.0,9601,5.0,3.5,46666
NV,17,3,T,40.0,XXXX,T3,41.0,U,,1.0,M,,0,152.0,6.0,9601,7.0,5.8461538462,154795
KY,18,2,R,57.0,XXXX,R2,43.0,U,,5.0,F,,0,128.0,10.0,9512,4.0,9.8461538462,58984
CA,14,2,R,92.0,XXXX,R2,46.0, ,,,F,,0,1155.0,20.0,9604,2.0,18.629032258,7938
MN,14,2,R,77.0,XXXX,R2,49.0,U,,1.0,F,2.0,0,89.0,10.0,9604,3.0,11.125,9155
AZ,18,2,C,,XXXX,C2,27.0,U,,3.0,F,,0,99.0,15.0,9512,4.0,9.9,137391
WA,10,,,,XXXX, ,,H,,2.0,F,6.0,5,82.0,3.0,9608,5.0,3.7272727273,1220
CA,15,2,T,,XXXX,T2,40.0, ,,,F,,0,26.0,10.0,9603,4.0,5.2,154781
MN,9,2,R,,XXXX,R2,49.0,H,,4.0,M,3.0,18,122.0,10.0,9609,5.0,8.7142857143,185890
TX,6,1,U,76.0,XXXX,U1,1.0,H,,3.0,F,9.0,29,132.0,12.0,9612,4.0,6.9473684211,188463
MS,20,2,R,81.0,XXXX,R2,47.0,H,,6.0,F,,0,340.0,20.0,9510,3.0,14.782608696,55571
FL,21,2,S,82.0,XXXX,S2,20.0,U,,3.0,U,9.0,0,96.0,8.0,9509,5.0,6.8571428571,38055
LA,22,,,,I1CM, ,, ,,, ,,0,250.0,100.0,9508,5.0,83.333333333,13037
CA,15,1,U,76.0,XXXX,U1,1.0,U,,1.0,F,,0,86.0,15.0,9603,1.0,10.75,163991
MO,18,2,T,68.0,XXXX,T2,36.0,H,,7.0,F,5.0,0,35.0,15.0,9512,14.0,11.666666667,99536
WA,17,2,U,60.0,XXXX,U2,7.0, ,,, ,,0,54.0,10.0,9601,9.0,7.7142857143,179539
AZ,20,2,S,,XXXX,S2,17.0, ,,,F,,0,32.0,17.0,9510,4.0,16.0,136499
MI,17,2,T,58.0,XXXX,T2,38.0,H,,4.0,M,5.0,1,63.0,10.0,9601,12.0,7.875,70040
FL,18,3,C,2.0,XXXX,C3,33.0,U,,1.0,U,,0,132.0,10.0,9512,1.0,4.4,43955
CA,18,1,U,,XXXX,U1,3.0, ,,,M,,0,75.0,75.0,9512,,75.0,144962
MN,23,2,R,,XXXX,R2,49.0,U,,3.0,F,2.0,0,15.0,15.0,9507,,15.0,83135
NC,18,,,,XXXX, ,, ,,, ,,0,65.0,65.0,9512,,65.0,18788
CA,16,3,C,60.0,XXXX,C3,31.0,H,1.0,3.0,M,1.0,1,60.0,20.0,9602,5.0,10.0,168900
MO,15,2,R,69.0,XXXX,R2,43.0,H,,7.0,F,1.0,0,62.0,8.0,9603,3.0,6.2,99864
MI,24,1,S,58.0,XXXX,S1,15.0, ,,,M,,0,557.05,20.0,9506,1.0,20.631481481,3755
IN,18,2,T,86.0,XXXX,T2,36.0,U,,2.0,F,4.0,0,175.0,20.0,9512,11.0,14.583333333,63236
NC,13,2,C,70.0,XXXX,C2,28.0,H,,6.0,F,8.0,25,135.0,25.0,9605,9.0,12.272727273,185259
MI,20,2,R,64.0,XXXX,R2,43.0,H,,6.0,M,3.0,19,188.0,15.0,9510,11.0,17.090909091,71355
